Path,Count
LEGAL SPEC ->  SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS,1
SWITCHBOARD ->  LRS SPANISH ->  ACAP PAs,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  ACAP PAs ->  DD LEGAL,1
ACAP PAs ->  SWITCHBOARD ->  ACCOUNTING,1
SWITCHBOARD ->  ACAP PAs ->  DD LEGAL ->  LRS,1
SWITCHBOARD ->  ETHICS SPT ->  AHC,1
SWITCHBOARD ->  PRACTICE RESOURCE CENTER ->  LEGAL SPEC,1
SWITCHBOARD ->  ETHICS ATTY ->  ETHICS SPT,1
SWITCHBOARD ->  LEGAL SPEC ->  FEE SEASON,1
SWITCHBOARD ->  LRS ->  ACAP PAs ->  AHC,1
SWITCHBOARD ->  FEE SEASON ->  PRACTICE RESOURCE CENTER,1
MEMBERSHIP RECORDS ->  LEGAL SPEC ->  WEBSITE ->  SWITCHBOARD ->  ETHICS SPT,1
SWITCHBOARD ->  LRS ->  AHC,1
SWITCHBOARD ->  AHC ->  ACCOUNTING ->  MEMBERSHIP RECORDS,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  PRACTICE RESOURCE CENTER ->  ETHICS ATTY,1
SWITCHBOARD ->  ACCOUNTING ->  DD LEGAL ->  PRACTICE RESOURCE CENTER,1
SWITCHBOARD ->  LRS ->  LEGAL SPEC ->  ACCOUNTING,1
SWITCHBOARD ->  ACCOUNTING ->  MEMBERSHIP RECORDS ->  ACAP PAs ->  DD LEGAL,1
LRS SPANISH ->  SWITCHBOARD,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  SERVICE DESK,1
SWITCHBOARD ->  LEGAL SPEC ->  WEBSITE,1
SWITCHBOARD ->  LRS ->  DD LEGAL ->  ACAP PAs,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  LRS,1
SWITCHBOARD ->  MEMBERSHIP RECORDS ->  LEGAL SPEC ->  ACCOUNTING,1
SWITCHBOARD ->  DD LEGAL ->  ACAP PAs ->  ACAP ATTY,1
SWITCHBOARD ->  ACAP PAs ->  ETHICS ATTY,1
