Month,Avg Duration (s),P50 Duration (s),P95 Duration (s),Max Duration (s),Valid Samples
April,386.0,310.0,1001.0,2995.0,2246
May,407.0,320.0,1045.0,3977.0,3117
June,408.0,327.0,1046.0,3623.0,3257
