Outcome Type,April,May,June,Total
OutcomeFailure_0,1164,1973,2166,5303
OutcomeSuccess_1,1003,1732,1907,4642
OutcomeSuccess_2,155,224,237,616
OutcomeSuccess_3,6,13,20,39
OutcomeSuccess_4,0,3,2,5
OutcomeSuccess_5,0,1,0,1
