Month,Avg Duration (s),P50 Duration (s),P95 Duration (s),Max Duration (s),Valid Samples
April,384.2,311.1,939.7,3358.7,2466
May,401.8,331.0,978.6,3632.6,3429
June,407.6,318.2,1044.2,3326.4,3561
