Month,Avg Duration (s),P50 Duration (s),P95 Duration (s),Max Duration (s),Valid Samples
April,242.0,197.0,550.0,1137.0,153
May,220.0,167.0,544.0,1017.0,143
June,255.0,250.0,479.0,1063.0,179
