Path,April,May,June,Total,Pct Of Total
SWITCHBOARD,4,3,5,12,2.5
SWITCHBOARD -> AHC,0,1,2,3,0.6
SWITCHBOARD -> ACAP PAs,2,0,0,2,0.4
MEMBERSHIP RECORDS,1,1,0,2,0.4
LRS SPANISH,0,1,1,2,0.4
SWITCHBOARD -> LRS,0,1,1,2,0.4
LRS -> OPERATOR TAMPA -> DD LEGAL,1,0,0,1,0.2
LEGAL SPEC,0,0,1,1,0.2
ACAP PAs -> DD LEGAL,0,0,1,1,0.2
FEE SEASON,0,0,1,1,0.2
