Hour,April,May,June,All
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,5,3,8
8,39,57,54,150
9,116,117,122,355
10,120,169,182,471
11,112,168,202,482
12,136,162,174,472
13,116,185,175,476
14,127,150,139,416
15,129,148,138,415
16,105,131,141,377
17,43,34,34,111
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
