Hour,April,May,June,All
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,7,5,10,22
8,46,76,76,198
9,129,198,243,570
10,166,282,293,741
11,154,282,308,744
12,145,211,240,596
13,127,227,259,613
14,110,243,235,588
15,145,229,276,650
16,121,202,201,524
17,14,18,25,57
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
