Outcome Type,April,May,June,Total
OutcomeFailure_0,1043,1326,1364,3733
OutcomeSuccess_1,1025,1302,1341,3668
OutcomeSuccess_2,18,24,22,64
OutcomeSuccess_3,0,0,1,1
