Month,Total Calls,Has Hold Data,Hold Data %,Avg Hold (s),P50 Hold (s),Max Hold (s)
April,1164,83,7.1,141.0,109.6,568.3
May,1973,130,6.6,132.0,95.2,724.0
June,2166,151,7.0,144.9,118.8,638.9
