Month,Avg Duration (s),P50 Duration (s),P95 Duration (s),Max Duration (s),Valid Samples
April,411.1,323.1,1021.3,2626.1,1164
May,419.3,336.8,1001.0,3774.4,1973
June,446.2,326.6,1034.5,59690.0,2166
