Hour,April,May,June,All
7,12,18,16,46
8,77,173,173,423
9,250,342,338,930
10,293,422,436,1151
11,288,403,479,1170
12,308,391,402,1101
13,302,437,436,1175
14,316,443,427,1186
15,299,398,414,1111
16,262,355,362,979
17,60,47,78,185
