Outcome Type,April,May,June,Total
OutcomeFailure_0,154,143,179,476
OutcomeSuccess_1,138,130,159,427
OutcomeSuccess_2,11,11,16,38
OutcomeSuccess_3,5,2,3,10
OutcomeSuccess_5,0,0,1,1
