Metric,April,May,June,Total
Total Calls,2467,3429,3561,9457
Successful,0,0,0,0
Failed,0,0,0,0
Abandoned,0,0,0,0
Success %,0,0,0,0.0
Abandon %,0,0,0,0.0
Average Duration (s),0,0,0,0.0
