Hour,April,May,June,All
7,17,18,33,68
8,93,134,129,356
9,202,308,288,798
10,282,401,386,1069
11,291,397,398,1086
12,258,331,366,955
13,276,367,401,1044
14,289,374,416,1079
15,257,388,409,1054
16,226,336,360,922
17,55,63,71,189
