Outcome Type,April,May,June,Total
OutcomeFailure_0,2467,3429,3561,9457
OutcomeSuccess_1,2138,2946,3041,8125
OutcomeSuccess_2,313,463,487,1263
OutcomeSuccess_3,15,20,29,64
OutcomeSuccess_4,0,0,3,3
OutcomeSuccess_5,1,0,1,2
